Topic,Count,Name,Representation,Representative_Docs
-1,2381,-1_jasper_chinaman_says_arm,"['jasper', 'chinaman', 'says', 'arm', 'knowledge', 'experience', 'tobacco', 'poison', 'edwin', 'soft', 'answered', 'suppose']","['them moral but of keeping them from alcohol it may be a pity to do this but it is obviously possible just as it is possible to keep them--that is to say the overwhelming majority of them--from opium nor shall i be influenced by the argument that such prohibition is outside the authority of a government for if a government can demand a man s life for reasons of foreign policy it can surely demand his whisky for reasons of domestic policy if it can call upon him to start fighting it can call upon him to stop drinking but if opium and alcohol is prohibited you say why not tobacco when tobacco is mentioned i feel like the village socialist who was quite ready to share two theoretical cows with his neighbour but when asked if the theory applied also to pigs answered indignantly what are you talking about--i ve got two pigs i could bear an england which went dry but an england which went out -- so before assenting to the right of a government to rob the working-man of his beer i have to ask myself if i assent to its right to rob me of my pipe well if', 'told christmas eve christmas eve comes the day of the dinner of three jasper landless and edwin the chapter describing this fateful day xiv is headed when shall these three meet again and mr proctor argues that dickens intends that they shall meet again the intention and the hint are much in dickens s manner landless means to start next day very early on a solitary walking tour and buys an exorbitantly heavy stick we casually hear that jasper knows edwin to possess no jewellery except a watch and chain and a scarf-pin as edwin moons about he finds the old opium hag come down from london seeking a needle in a bottle of hay she says that is hunting vainly for jasper please remark that jasper has run up to town on december and has saturated his system with a debauch of opium on the very eve of the day when he clearly means to kill edwin this was a most injudicious indulgence in the circumstances a maiden murder needs nerve we know that fiddlestrings was weakness to express the state of jasper s nerves on the day after the night of opium with which the story opens on december jasper', 'kind of fit of jasper s after dinner on the first evening of the story edwin has then seen jack jasper in one of his filmy seizures the woman prays edwin for three shillings and sixpence to buy opium he gives her the money she asks his christian name edwin is eddy a sweetheart s form of that he says that he has no sweetheart he is told to be thankful that his name is not ned now jasper alone calls edwin ned ned is a threatened name a dangerous name says the hag who has heard jasper threaten ned in his opium dreams edwin determines to tell this adventure to jasper but not on this night to-morrow will do now did he tell the story to jasper that night in the presence of landless at dinner if so helena landless might later learn the fact from neville if she knew it she would later tell mr grewgious the three men meet and dine there is a fearful storm stones are displaced upon the summit of the great tower next morning early jasper yells to crisparkle who is looking out of his window in minor canon row that edwin has disappeared neville has']"
0,1212,0_won_says_suppose_don know,"['won', 'says', 'suppose', 'don know', 'isn', 'answered', 'couldn', 'ask', 'wouldn', 'ain', 'wasn', 'nodded']","['his head you say you ve met rufus carder well ye don t know him or else ye wouldn t ask that don t monkey with the buzz-saw is a pretty good motter where he s concerned i m lookin fer pete now this is his day to come in an stock up he s so stupid he couldn t make up anything and we ll know fer sure if there s any truth at all in the story who is pete--a son ben put the question calmly considering his elation at his good luck he had made up his mind that he might have to spend days in this soporific hamlet the grocer looked at him quickly from under his bushy eyebrows what made ye ask that some folks say he is say are you one o these here detectives be you after carder pete s a boy they took out of an asylum and if he d ever had any care he wouldn t be bandy-legged and undersized but don t you say i ve told ye anything cause i haven t ben smiled into the startled suspicious face not a bit of it he answered i m just motoring about these parts on a little vacation and i got out of cigarettes so i called', 'there was no sleepiness now in her eyes and nothing drowsy in her voice and she sat up in bed quite easily without anything to support her you have given me a dreadful fright mary says i sitting down by her in the chair and beginning by this time to feel rather faint after being startled so she jumped out of bed to get me a drop of water and kissed me and said how sorry she was and how undeserving of so much interest being taken in her at the same time she tried to possess herself of the laudanum bottle which i still kept cuddled up tight in my own hands no says i you have got into a low-spirited despairing way i won t trust you with it i am afraid i can t do without it says mary in her usual quiet hopeless voice what with work that i can t get through as i ought and troubles that i can t help thinking of sleep won t come to me unless i take a few drops out of that bottle don t keep it away from me anne it s the only thing in the world that makes me forget myself forget yourself', 'i d as lief face a loaded cannon i wish i could go out evenings but she won t let me tom jones asked me yesterday why i wasn t at faneuil hall the night before i told him i had the bronchitis he saw through it sent me a pair of reins the next day said to be a certain cure ah it s very well for him to laugh but it s no joke to me i suppose it s time to feed that baby mrs weasel will be home pretty soon from the woman s rights convention no i won t either i ll give it some paregoric and run up garret and smoke one cigar i feel as though i couldn t look a humming-bird in the eye nice cigar very nice what a fool i am to be ordered round by a little blue-eyed woman three feet high i m a very good-looking fellow and i won t stand it isn t that little weasel as much her baby as it is mine certainly m-r w-e-a-s-e-l hem my dear oh that eye of hers you see my dear there i won t do it again mrs weasel how s the convention dear carried the day i hope made one of your smart speeches hey tis n t every']"
1,470,1_coleridge_quincey_literature_poetry,"['coleridge', 'quincey', 'literature', 'poetry', 'literary', 'genius', 'confessions', 'author', 'works', 'prose', 'poets', 'poet']","['of impassioned prose but he never rose to the same sustained heights as the older author in fact de quincey stands alone in these traits the mass and accuracy of his accumulated knowledge the power of making the finest distinctions clear to any reader and the gorgeous style thick with the embroidery of poetical figures yet never giving the impression of over-adornment and above all these merits is the supreme charm of melodious rhythmical sentences which give the same enjoyment as fine music illustration thomas de quincey from an old engraving forty years ago de quincey s confessions of an english opium -eater was read by everyone who professed any knowledge of the masters of english literature to-day it is voted old-fashioned and few are familiar with its splendid imagery his other works which fill over a dozen volumes are practically forgotten mainly because his style is very diffuse and his constant digressions weary the reader who has small leisure for books no one however should miss reading the confessions the autobiography and some one essay such for instance as murder as one of the fine arts or the flight of a tartar tribe or the vision of sudden death in an', 'literature sidenote typical works the historian can but name a few characteristic works of de quincey without recommending any of them to readers to those interested in de quincey s personality his confessions of an english opium-eater will be illuminating this book astonished londoners in and may well astonish a bushman in the year it records his wandering life and the alternate transport or suffering which resulted from his drug habits this may be followed by his suspiria de profundis sighs from the depths which describes as well as such a thing could be done the phantoms born of opium dreams there are too many of the latter and the reader may well be satisfied with the wonderful dream fugue in the english mail coach illustration dove cottage grasmere here both wordsworth and de quincey resided as an illustration of de quincey s review of history one should try joan of arc or the revolt of the tartars which are not historical studies but romantic dreams inspired by reading history in the critical field the knocking at the gate in macbeth wordsworth s poetry and the essay on style are immensely suggestive as an example of ingenious humor murder considered as one', 'money was lost it then became necessary for him to throw off the influence of the narcotic sufficiently to earn a livelihood in he began to write from that time until his death in his life was devoted mainly to literature illustration room in dove cottage occupied by wordsworth coleridge and de quincey works --nearly all de quincey s writings were contributed to magazines his first and greatest contribution was the confessions of an english opium-eater published in the london magazine these confessions are most remarkable for the brilliant and elaborate style in which the author s early life and his opium dreams are related his splendid yet melancholy dreams are the most famous in the language de quincey s wide reading especially of history supplied the material for many of them in these dreams he saw the court ladies of the unhappy times of charles i witnessed marius pass by with his roman legions ran into pagodas in china where he was fixed for centuries at the summit or in secret rooms and was buried for a thousand years in stone coffins in narrow chambers at the heart of eternal pyramids in egypt his dreams were affected also by the throngs of']"
2,259,2_poisoning_administered_witness_poison,"['poisoning', 'administered', 'witness', 'poison', 'symptoms', 'bliss', 'quantity', 'expert', 'professor', 'pupils', 'testimony', 'grains']","['mr bliss first then we have dr meredith mr bliss hints to you that he is a prejudiced witness but whilst i might argue that a man must be more than a villain to falsely accuse another of murder i need go into no defence of this witness because it has been freely admitted that his testimony is true mr bliss argues that all that can be deduced from what dr meredith tells us is that morphine was present in quantity sufficient to show toxic symptoms now that is all that we care to claim from this witness he recognized morphine poisoning prior to death but mr bliss attempts to belittle the value of this by the hypothesis that the drug was self-administered he calls your attention to the statements of the prisoner to this effect and tells you to believe him on this subject i will speak again in a moment the principal thing at this point is do they ask us to believe that the girl died from diphtheria or did she die of poison regardless of how she received it they do not choose between these two queries but ask you to say either that she died of', 'been administered within the specified time should be proven the prosecution s own witness tells us that no such administration occurred during the last three hours of the life of the deceased the proposition then hinges upon what this witness claims to have seen as she entered the room she admits that she only saw dr medjora remove a syringe she did not see him insert it and she could not possibly know what the contents of that syringe were i think said the recorder that the question whether or not her testimony shows that dr medjora administered a hypodermic of morphine is a question for the jury the evidence may stand we take exception said mr bliss after a few moments consultation with mr dudley he said to the witness that is all and she was allowed to leave the stand this ended the day s proceedings chapter vii the prosecution rests the first witness called on the resumption of the trial was a druggist named newton who qualified as an expert pharmacist and chemist he examined the pellets contained in the bottle identified by the professional nurse as the one which she had given to mr munson these he dissolved in', 'meredith could not know positively what he was about to charge in your opinion what caused the death of miss sloane this was the new question formulated to meet the objection raised she died of morphine poisoning replied dr meredith you mean you think she died of morphine poisoning interjected mr bliss kindly wait until you get the witness before you begin your cross-examination said mr munson with a touch of asperity mr bliss merely smiled and kept silent satisfied that he had produced his effect upon the jury will you state why you conclude that miss sloane died of morphine poisoning continued mr munson i observed all the characteristic symptoms of morphine narcosis prior to her death and the nature of the death itself was consistent with my theory please explain what the symptoms of morphine poisoning are cold sweat slow pulse stertorous breathing a gradually deepening coma contracted pupils which however slowly dilate at the approach of death which is caused by a paralysis of the respiratory centres did you observe any of these symptoms in miss sloane yes practically all of them and would these same symptoms occur in any other form of death except from morphine poisoning']"
3,250,3_loved_jocelyn_remorse_grief,"['loved', 'jocelyn', 'remorse', 'grief', 'knowledge', 'bitter', 'mary', 'mildred', 'awful', 'fate', 'hoped', 'hopeless']","['so well aware of the nature of the affliction that overwhelmed the family that she was possessed by the most dismal forebodings as well as the deepest sympathy mr jocelyn had departed at an early hour leaving a note wherein he stated that he might be absent some days seeking employment in a neighboring city he had felt that it would be impossible to meet his family immediately after the experiences of the previous day indeed he had gone away with the desperate resolve that he would break his habit or never return but alas for the resolves of an opium slave time dragged heavily on the family living under a nightmare of anxiety fear and horrible conjectures what might he not do what new phase of the tragedy would hereafter be developed now that the busy season was over the girls found that they could retain their position as saleswomen only by accepting whatever their employers chose to pay and the thrifty shopkeepers satisfied their consciences with the thought that they could obtain scores of others at even lower prices mr schriven in the multiplicity of other interests had almost forgotten belle and she had become in his mind merely', 'vicious indulgence of a depraved appetite not disease but sin had so darkened their lives and brought them to a pass where even daily bread and shelter for the future were doubtful questions a thousand times mildred asked herself how can i go out and face the world with my name blackened by this great cloud of shame she felt as if she never wished to step into the open light of day again and the thought of vinton arnold made her shudder there is now a great gulf between us she moaned the truth that my father is an opium slave can never be hidden and even were vinton inclined to be faithful his family would regard me as a leper and he will yield to their abhorrence the wound in both her own and her mother s heart was deep indeed their confidence was shattered their faith in human goodness and honor destroyed while they still hoped much they nevertheless harbored a desperate fear and at best the old serene trust could never return even if mr jocelyn could rally and reform there would ever remain the knowledge that he had once been weak and false and might be again', 'we call a sense of guilt added its deep depression it is not inability to comprehend his degradation his danger his utter loss of manhood which opium imposes on its wretched slave but an impossibility to do aught except gratify the resistless craving at any and every cost all will-power has gone all moral resistance has departed and in its place is a gnawing clamorous ravening desire the vitiated body full of indescribable and mysterious pain the still more tortured mind sinking under a burden of remorse guilt fear and awful imagery both unite in one desperate incessant demand for opium while his wife sat leaning upon the table her face hidden she was the picture of despair and in truth she felt almost as if she were turning into stone if her husband had been brought home a mangled mutilated man as she often feared he might be during the long years of the war she would have bent over him with a tenderness equalled only by the pride and faith that had ever found in him their centre but this strange apparition of a man with odd sinister-looking eyes who alternately threatened and cowered before her--this man mutilated']"
4,163,4_bowl_containing_label_arm,"['bowl', 'containing', 'label', 'arm', 'bunks', 'max', 'covered', 'tray', 'contained', 'oriental', 'piece', 'key']","['along by the rails following gianapolis no clear glimpse she had of it for bat-like it avoided the light this sinister shape--and was gone xxxi musk and roses it is time to rejoin m gaston max in the catacombs of ho-pin having prepared himself for drugged repose in the small but luxurious apartment to which he had been conducted by the chinaman he awaited with interest the next development this took the form of the arrival of an egyptian attendant white-robed red-slippered and wearing the inevitable tarboosh upon the brass tray which he carried were arranged the necessities of the opium smoker placing the tray upon a little table beside the bed he extracted from the lacquered box a piece of gummy substance upon the end of a long needle this he twisted around skilfully in the lamp flame until it acquired a blue spirituous flame of its own he dropped it into the bowl of the carven pipe and silently placed the pipe in m max s hand max with simulated eagerness rested the mouthpiece between his lips and exhaled rapturously said stood watching him without the slightest expression of interest being perceptible upon his immobile face for some time the', 'is made in china the bowl of the pipe contained a small quantity of charcoal and a fragment of opium together with some ash and there was on the bed a little ash which appeared to have dropped from the bowl when the pipe fell or was laid down on the mantelshelf in the bedroom i found a small glass-stoppered jar containing about an ounce of solid opium and another larger jar containing wood charcoal broken up into small fragments also a bowl containing a quantity of ash with fragments of half-burned charcoal and a few minute particles of charred opium by the side of the bowl were a knife a kind of awl or pricker and a very small pair of tongs which i believe to have been used for carrying a piece of lighted charcoal to the pipe on the dressing-table were two glass tubes labelled hypodermic tabloids strophanthin grain and a minute glass mortar and pestle of which the former contained a few crystals which have since been analysed by me and found to be strophanthin on examining the body i found that it had been dead about twelve hours there were no marks of violence', 'which has since been identified in my presence as that of mr jeffrey blackmore it was fully dressed and wore boots on which was a moderate amount of dry mud it was lying on its back on the bed which did not appear to have been slept in and showed no sign of any struggle or disturbance the right hand loosely grasped a hypodermic syringe containing a few drops of clear liquid which i have since analysed and found to be a concentrated solution of strophanthin on the bed close to the left side of the body was a brass opium -pipe of a pattern which i believe is made in china the bowl of the pipe contained a small quantity of charcoal and a fragment of opium together with some ash and there was on the bed a little ash which appeared to have dropped from the bowl when the pipe fell or was laid down on the mantelshelf in the bedroom i found a small glass-stoppered jar containing about an ounce of solid opium and another larger jar containing wood charcoal broken up into small fragments also a bowl containing a quantity of ash with fragments of half-burned charcoal']"
5,140,5_result_keith_gathered_noise,"['result', 'keith', 'gathered', 'noise', 'hearts', 'everybody', 'foreigners', 'members', 'dens', 'dick', 'objected', 'thieves']","['and the articles she wrote the short stories the recruiting songs dick dared not read them they were terrible terrible viii the months passed by the longer the war lasted the longer it seemed likely to last dick supported life somehow then came the menace of conscription the weekly international organized a great anti-conscription campaign in which hyman and dick were the leading spirits dick was almost happy this kind of active work was new to him and he enjoyed it finding it exciting and at the same time sedative for a self-absorbed and brooding mind pain itself is an anodyne he enjoyed his incessant journeys his speechmaking to queer audiences in obscure halls and chapels he liked talking with earnest members of impossible christian sects pacifists who took not the faintest interest in the welfare of humanity at large but were wholly absorbed in the salvation of their own souls and in keeping their consciences clear from the faintest trace of blood-guiltiness he enjoyed the sense of power which came to him when he roused the passion of the crowd to enthusiastic assent or breasted the storm of antagonism he enjoyed everything--even getting a bloody nose from a patriot', 'that his mourning retirement prevented him from issuing forth and telling everybody what he thought of this new disgraceful scandal his english blood revolted at the idea of a harmless tourist a prominent member of the alpha and omega club being callously murdered would these people never get civilized he was glad to hear at all events that the judge was doing something signor malipizzo was doing a good deal he meant to sift the thing to the bottom his energy hitherto simulated was now set genuinely at work to discover indications of the murderer--indications of his missing friend but nepenthe is not a good place for finding corpses the island is full of fathomless rents and fissures a good many foreigners especially such as were known to carry loose gold in their pockets had been suspected of falling into them without leaving a trace behind yet a thorough search was instituted for he knew that criminals were not always as clever as they thought themselves some insignificant relic might turn up--a shred of clothing or so forth such things were occasionally picked up on nepenthe nobody knew to whom they belonged the cave of mercury on being searched yielded nothing', 'he had done nothing to merit mistrust he was frank and open himself he liked others to be the same what was the use of thinking about it he knew tantalizingly little about his cousin--nothing but scraps of information gathered from his mother s letters to him he would call again in a day or two and make some definite arrangements about their journey to england perhaps he had talked more dully than usual or could it be the south wind neither of these explanations was wholly convincing chapter xv nothing was happening for the first time since many years the nepenthe season threatened to be a failure it was the dullest spring on record and yet there was a quality in that heavy atmosphere which seemed to threaten mischief everybody agreed that it had never been quite so bad as this meanwhile people yawned they were bored stiff as a source of gossip those two burglaries were a negligible quantity so was the little accident which had just happened to mr keith who ruefully declared he had done it on purpose in order to liven things up no one was likely to be taken in by this kind of talk because']"
6,135,6_hath_hast_holy_sing,"['hath', 'hast', 'holy', 'sing', 'song', 'tis', 'sky', 'gods', 'stars', 'prophet', 'balm', 'forest']","['thy fields that they may be barren before thy feet and after thy ploughshare this was part of an old curse picked up from a faquir by the taksali gate in the days of kim s innocence it lost nothing by repetition cease holy one in mercy cease cried the jat do not curse the household i saw nothing i heard nothing i am thy cow and he made to grab at kim s bare foot beating rhythmically on the carriage floor but since thou hast been permitted to aid me in the matter of a pinch of flour and a little opium and such trifles as i have honoured by using in my art so will the gods return a blessing and he gave it at length to the man s immense relief it was one that he had learned from lurgan sahib the lama stared through his spectacles as he had not stared at the business of disguisement friend of the stars he said at last thou hast acquired great wisdom beware that it do not give birth to pride no man having the law before his eyes speaks hastily of any matter which he has seen or encountered no--no--no indeed cried', 'gloom make sharp the horizon of the light of hell laus mortis the imperishable phantoms love and fame nor beauty burning on the mist and mire a fugitive uncapturable fire nor god that is a darkness and a name not these not these my choric dreams acclaim but death the last and ultimate desire great death i praise with litany and lyre and sombre pray r implacably the same o incommunicable hope that lies deep in despair as tapers that illume some fearful fane s arcanic sacred gloom o solace of all weary hearts and wise the dream which satan hath for anodyne which is to god a sweet and secret wine the ghoul and the seraph scene a cemetery by moonlight the ghoul emerges from the shade of a cypress and sings the song ho ho the pest is on the wing ha ha the sweet and crimson foam upon the lips of churl and king no worm but hath a feastful home ha ha the pest is on the wing ho ho his kiss incarnadines the brows of maiden queen and whore the nun to him her cheek resigns wan lips were never kissed before his ancient kiss incarnadines good', 'the shadow of a curse or lust of curious lore--than maddest motive worse and thou great essence of all things that are hast been to me most prodigal of grace thou st smiled on me in many a twinkling star the morn hath showered kisses on my face in nature s arms thy bodily embrace not purest poet hath more fondled been tis true that i have often thought to trace instead of peace a harshness in thy mien and where i beauty sought discordant sights obscene but not with aching heart i sought thee now that thou might st numb with thy narcotic night the restless pulse oblivious balm bestow infuse this frailty with thy glorious might and blind with beauty to the mortal blight not even wilful love possessed me when behold thy spirit stole upon my sight and ravished me--what wonder that my ken forsook this little world of vanity and men and howsoe er it seemed at other times to my imperfect and diseas d mind which darkened with the shadow of men s crimes thy virtue fancying in thee to find reflection of the ills that shake mankind though on me now a tempest broke and war convulsed the elements i would']"
7,110,7_sky_huge_purple_doors,"['sky', 'huge', 'purple', 'doors', 'perfume', 'grotesque', 'scarlet', 'aromatic', 'moon', 'silver', 'market', 'gilded']","['to he hardly knew he remembered wandering through dimly-lit streets with gaunt black-shadowed archways and evil-looking houses women with hoarse voices and harsh laughter had called after him drunkards had reeled by cursing and chattering to themselves like monstrous apes he had seen grotesque children huddled upon door-steps and had heard shrieks and oaths from gloomy courts when the dawn was just breaking he found himself at covent garden huge carts filled with nodding lilies rumbled slowly down the polished empty street the air was heavy with the perfume of the flowers and their beauty seemed to bring him an anodyne for his pain he followed into the market and watched the men unloading their wagons a white-smocked carter offered him some cherries he thanked him wondered why he refused to accept any money for them and began to eat them listlessly they had been plucked at midnight and the coldness of the moon had entered into them a long line of boys carrying crates of striped tulips and of yellow and red roses defiled in front of him threading their way through the huge jade-green piles of vegetables under the portico with its gray sun-bleached pillars loitered a troop of', 'two would come up with a song from the sea moti guj all black and shining waving a torn tree branch twelve feet long in his trunk and deesa knotting up his own long wet hair kipling moti guj--mutineer as the dawn was just breaking he found himself close to covent garden the darkness lifted and flushed with faint fires the sky hollowed itself into a perfect pearl huge carts filled with nodding lilies rumbled slowly down the polished empty street the air was heavy with the perfume of the flowers and their beauty seemed to bring him an anodyne for his pain he followed into the market and watched the men unloading their waggons a white-smocked carter offered him some cherries he thanked him and wondered why he refused to accept any money for them and began to eat them listlessly they had been plucked at midnight and the coldness of the moon had entered into them a long line of boys carrying crates of striped tulips and of yellow and red roses defiled in front of him threading their way through the huge jade-green piles of vegetables under the portico with its grey sun-bleached pillars loitered a group', 'houses women with hoarse voices and harsh laughter had called after him drunkards had reeled by cursing and chattering to themselves like monstrous apes he had seen grotesque children huddled upon door-steps and heard shrieks and oaths from gloomy courts as the dawn was just breaking he found himself close to covent garden the darkness lifted and flushed with faint fires the sky hollowed itself into a perfect pearl huge carts filled with nodding lilies rumbled slowly down the polished empty street the air was heavy with the perfume of the flowers and their beauty seemed to bring him an anodyne for his pain he followed into the market and watched the men unloading their waggons a white-smocked carter offered him some cherries he thanked him wondered why he refused to accept any money for them and began to eat them listlessly they had been plucked at midnight and the coldness of the moon had entered into them a long line of boys carrying crates of striped tulips and of yellow and red roses defiled in front of him threading their way through the huge jade-green piles of vegetables under the portico with its grey sun-bleached pillars loitered a troop of']"
8,63,8_carter_charles_coleridge_essays,"['carter', 'charles', 'coleridge', 'essays', 'thomas', 'william', 'confessions', 'quincey', 'poems', 'english eater', 'introduction', 'confessions english']","['by thomas hodgkin d c l charles auchester by e berger character by samuel smiles charles o malley by charles lever chesterfield s letters by lord chesterfield chevalier de maison rouge by alexandre dumas chicot the jester by alexandre dumas children of the abbey by regina maria roche child s history of england by charles dickens christmas stories by charles dickens cloister and the hearth by charles reade coleridge s poems by samuel taylor coleridge columbus christopher life of by washington irving companions of jehu by alexandre dumas complete angler by walton and cotton conduct of life by ralph waldo emerson confessions of an opium eater by thomas de quincey conquest of granada by washington irving conscript by erckmann-chatrian conspiracy of pontiac by francis parkman jr conspirators by alexandre dumas consuelo by george sand cook s voyages by captain james cook corinne by madame de stael countess de charney by alexandre dumas countess gisela by e marlitt countess of rudolstadt by george sand count robert of paris by sir walter scott country doctor by honore de balzac courtship of miles standish by h w longfellow cousin maude by mary j holmes cranford by mrs gaskell crockett david life of an autobiography cromwell oliver life of by', 'by thomas hodgkin d c l charles auchester by e berger character by samuel smiles charles o malley by charles lever chesterfield s letters by lord chesterfield chevalier de maison rouge by alexandre dumas chicot the jester by alexandre dumas children of the abbey by regina maria roche child s history of england by charles dickens christmas stories by charles dickens cloister and the hearth by charles reade coleridge s poems by samuel taylor coleridge columbus christopher life of by washington irving companions of jehu by alexandre dumas complete angler by walton and cotton conduct of life by ralph waldo emerson confessions of an opium eater by thomas de quincey conquest of granada by washington irving conscript by erckmann-chatrian conspiracy of pontiac by francis parkman jr conspirators by alexandre dumas consuelo by george sand cook s voyages by captain james cook corinne by madame de stael countess de charney by alexandre dumas countess gisela by e marlitt countess of rudolstadt by george sand count robert of paris by sir walter scott country doctor by honore de balzac courtship of miles standish by h w longfellow cousin maude by mary j holmes cranford by mrs gaskell crockett david life of an autobiography cromwell oliver life of by', 'by thomas hodgkin d c l charles auchester by e berger character by samuel smiles charles o malley by charles lever chesterfield s letters by lord chesterfield chevalier de maison rouge by alexandre dumas chicot the jester by alexandre dumas children of the abbey by regina maria roche child s history of england by charles dickens christmas stories by charles dickens cloister and the hearth by charles reade coleridge s poems by samuel taylor coleridge columbus christopher life of by washington irving companions of jehu by alexandre dumas complete angler by walton and cotton conduct of life by ralph waldo emerson confessions of an opium eater by thomas de quincey conquest of granada by washington irving conscript by erckmann-chatrian conspiracy of pontiac by francis parkman jr conspirators by alexandre dumas consuelo by george sand cook s voyages by captain james cook corinne by madame de stael countess de charney by alexandre dumas countess gisela by e marlitt countess of rudolstadt by george sand count robert of paris by sir walter scott country doctor by honore de balzac courtship of miles standish by h w longfellow cousin maude by mary j holmes cranford by mrs gaskell crockett david life of an autobiography cromwell oliver life of by']"
