,Snippet,Keyword,Assigned_Gender,Character_Name
4877,"though I nearly blurted it out more than once, when they came to me with their doll's-house prettinesses about women. _You_ thought you were a cynic, now and then, didn't you, Lomax, when the Ogilvie woman touched you up a bit too hard? Lord, I could have taught you a cynicism that grips your vitals! You'll never learn it now, so it's lucky you've struck into optimism--it fits you better."" ""Never mind me, Roddick. Finish your story."" ""Six months after I married my picturesque maid of the inn--the child died a day or two after its birth--she began to take opium for sleeplessness; she continued it as a luxury. From that she passed, with true catholicity, to wine, brandy, whisky--or, failing these, gin. She grew more beast-like every year, till now it's only the clothes and the walking on her hind legs that stamp her as a woman. Three times she has tried to kill me, and once--my cursed conscience won't let me do anything else--I have saved her from death."" ""I thought you disclaimed tenderness just now,"" put in Griff, scarce knowing what to say. ""In your place, I should have let her die."" ""You wouldn't, when it came to",opium,Female,Roddick
2813,"for some months in gaining a living there, although his education was of the slenderest, and, judging from the specimens still treasured in Haworth, his natural talent on a level with that of the average new student in any school of art. His tawny mane, his pose of untaught genius, his verses in the poet's corner of the paper could not for ever keep afloat this untaught and thriftless portrait-painter of twenty. Soon there came an end to his painting there. He disappeared from Bradford suddenly, heavily in debt, and was lost to sight, until unnerved, a drunkard, and an opium -eater, he came back to home and Emily at Haworth. Meanwhile impetuous Charlotte was growing nervous and weak, gentle Anne consumptive and dejected, in their work away from home; and Emily was toiling from dawn till dusk with her old servant Tabby for the old aunt who never cared for her, and the old father always courteous and distant. They knew the face of necessity more nearly than any friend's, those Brontë girls, and the pinch of poverty was for their own foot; therefore were they always considerate to any that fell into the same plight. During the Christmas holidays",opium,Male,Anne
436,"himself for a pariah capable of the worst crimes, and who may therefore be robbed, beaten and even murdered by his white neighbors with impunity. But when the police seek information from Chinatown, Chinatown takes its revenge—and is silent. Out on the river, above and below Limehouse, patrols watched for signals from the Asiatic quarter, and from a carefully selected spot on the Surrey side George Martin watched also. Not even the lure of a neighboring tavern could draw him from his post. Hour after hour he waited patiently—for Sin Sin Wa paid fair prices, and tonight he bought neither opium nor cocaine, but liberty. Seton Pasha, passing from point to point, and nowhere receiving news of Kerry, began to experience a certain anxiety respecting the safety of the intrepid Chief Inspector. His mind filled with troubled conjectures, he passed the house formerly occupied by the one-eyed Chinaman—where he found Detective-Sergeant Coombes on duty and very much on the alert—and followed the bank of the Thames in the direction of Limehouse Basin. The narrow, ill-lighted street was quite deserted. Bad weather and the presence of many police had driven the Asiatic inhabitants indoors. But from the river and the docks arose",opium,Male,Seton Pasha
556,"gully came in at the window now and then. Besides the mats, there was no other furniture in the room--only the coffin, and the old Joss all green and blue and purple with age and polish. Fung-Tching never told us why he called the place “The Gate of a Hundred Sorrows.” (He was the only Chinaman I know who used bad-sounding fancy names. Most of them are flowery. As you'll see in Calcutta.) We used to find that out for ourselves. Nothing grows on you so much, if you're white, as the Black Smoke. A yellow man is made different. Opium doesn't tell on him scarcely at all; but white and black suffer a good deal. Of course, there are some people that the Smoke doesn't touch any more than tobacco would at first. They just doze a bit, as one would fall asleep naturally, and next morning they are almost fit for work. Now, I was one of that sort when I began, but I've been at it for five years pretty steadily, and its different now. There was an old aunt of mine, down Agra way, and she left me a little at her death. About sixty rupees a",opium,Male,Chinaman
4723,"They, like ourselves, are so preoccupied with the miserable importance of their instant lives. THE CAGE I was not asleep. I have watched passengers who kept their eyes shut between the stations, but as yet I have not seen an indisputable case of anyone sound asleep on the Hampstead and Charing Cross Tube. Of the other passages that make up London’s greater intestine I have less experience, and it may be that some tubes are more conducive to slumber than the one most familiar to me. I have no ambition to make a dogmatic generalisation concerning either the stimulative or soporific action of the Underground. I merely wish it to be understood that I was not asleep, and that it was hardly possible that I could have been, with a small portmanteau permanently on one foot, and the owner of it--a little man who must have wished that the straps were rather longer--intermittently on the other. Against this, however, I have to put the fact that I could not say at which station the little man removed from me the burden of himself and his portmanteau. Nor could I give particulars of the appearance of such of my innumerable fellow-passengers as",soporific,Unknown,Anonymous
848,"in this disease, in which they were thought to have proved specially useful. At some time in the course of this century medical practice had settled down on four remedies as its chief reliance. I must repeat an incident which I have related in another of these Essays. When Dr. Holyoke, nearly seventy years ago, received young Mr. James Jackson as his student, he showed him the formidable array of bottles, jars, and drawers around his office, and then named the four remedies referred to as being of more importance than all the rest put together. These were ""Mercury, Antimony, Opium , and Peruvian Bark."" I doubt if either of them remembered that, nearly seventy years before, in 1730, Dr. William Douglass, the disputatious Scotchman, mentioned those same four remedies, in the dedication of his quarrelsome essay on inoculation, as the most important ones in the hands of the physicians of his time. In the ""Proceedings"" of this Society for the year 1863 is a very pleasant paper by the late Dr. Ephraim Eliot, giving an account of the leading physicians of Boston during the last quarter of the last century. The names of Lloyd, Gardiner, Welsh, Rand, Bulfinch, Danforth, John",opium,Unknown (Proper Noun),Anonymous
1448,"Schreiber receiving a _bonus_ of so many thousand pounds, paid down according to the rate agreed on by the lawyers of the two parties; or, strictly speaking, _quarrelled on_ between the adverse factions; for agreement it was hard to effect upon any point. The deadly fear which had been breathed into him by Mrs. Schreiber's scale of expenditure in a Park Lane house proved her most salutary ally. Coerced by this horrid vision, Schreiber consented (which else he never would have done) to grant her an allowance, for life, of about two thousand per annum. Could _that_ be reckoned an anodyne for the torment connected with a course of Schreiber? I pretend to no opinion. Such were the facts: and exactly at this point in her career had Mrs. Schreiber arrived, when, once more, Colonel Watson and General Smith were visiting England, and for the last time, on the errand of settling permanently some suitable establishment for their two infant daughters. The superintendence of this they desired to devolve upon some lady, qualified by her manners and her connections for introducing the young ladies, when old enough, into general society. Mrs. Schreiber was the very person required. Intellectually she had no",anodyne,Female,Schreiber
2818,"seems to me more nearly akin to Heathcliff's miserable son than to Heathcliff. But that, in depicting Heathcliff's outrageous thwarted love for Catharine, Emily did draw upon her experience of her brother's suffering, this extract from an unpublished lecture of Mr. Reid's will sufficiently reveal[27]:-- ""It was in the enforced companionship of this lost and degraded man that Emily received, I am sure, many of the impressions which were subsequently conveyed to the pages of her book. Has it not been said over and over again by critics of every kind that 'Wuthering Heights' reads like the dream of an opium -eater? And here we find that during the whole time of the writing of the book an habitual and avowed opium-eater was at Emily's elbow. I said that perhaps the most striking part of 'Wuthering Heights' was that which deals with the relations of Heathcliff and Catharine after she had become the wife of another. Whole pages of the story are filled with the ravings and ragings of the villain against the man whose life stands between him and the woman he loves. Similar ravings are to be found in all the letters of Branwell Brontë written at this period",opium,Female,Emily
473,"be on the price of cotton, and caring no wise to determine which side of battle is in the wrong. Neither does a great nation send its poor little boys to jail for stealing six walnuts; and allow its bankrupts to steal their hundreds of thousands with a bow, and its bankers, rich with poor men’s savings, to close their doors “under circumstances over which they have no control,” with a “by your leave;” and large landed estates to be bought by men who have made their money by going with armed steamers up and down the China Seas, selling opium at the cannon’s mouth, and altering, for the benefit of the foreign nation, the common highwayman’s demand of “your money _or_ your life,” into that of “your money _and_ your life.” Neither does a great nation allow the lives of its innocent poor to be parched out of them by fog fever, and rotted out of them by dunghill plague, for the sake of sixpence a life extra per week to its landlords; {11} and then debate, with drivelling tears, and diabolical sympathies, whether it ought not piously to save, and nursingly cherish, the lives of its murderers. Also, a",opium,Unknown,Anonymous
3736,"boy! When my father of blessed memory was drunk, he was as the Archangel Gabriel,--of the most entertaining--the most exhilarating--And he gave it up! Does he not say in his blessed book of memoirs: 'Being now thirty-nine and having vowed to abandon wine in my fortieth year, I therefore drank to excess.' What would you more? And his recantation! 'Gentlemen of the army! Those who sit down to the feast of life must end by drinking the cup of death!' It stirs one like the Day of Resurrection! But this boy--'tis all his Hindu mother's fault."" ""And his grandfather took opium ,"" continued Râkiya, relentlessly. Lady Hamida looked up with chill dignity. ""Let the earth of the grave cover the dead, daughter-in-law. What my husband did is known to me better than to you."" Râkiya Begum put the spectacles on her pinched nose once more. ""I offer excuse,"" she replied ceremoniously. ""I was but going to remark that both blessed saints, despite these habits, were good enough kings. It is the unprecedented abstemiousness of the present Lord of the Universe, who looks neither at wine nor women, which throws the Prince's indiscretions into relief."" Her words brought solace. After all who",opium,Unknown,Anonymous
